,id,price
0,8795,8232698
1,6516,8276247
2,4714,5455279
3,8423,6646566
4,5361,7878253
5,2681,7600173
6,8742,8491574
7,4685,9902272
8,295,10019525
9,6628,5727468
10,10103,12315491
11,8347,6263593
12,7266,6771728
13,10527,6239369
14,8352,8997661
15,3263,9394266
16,5230,7910781
17,5546,7694631
18,3179,8258322
19,9972,5225770
20,8992,9376941
21,8037,10398722
22,7822,5770161
23,8447,7653330
24,10406,9465395
25,111,8050710
26,4267,7319939
27,7447,8861236
28,12086,9820663
29,6926,6539747
30,2927,9811098
31,9977,10874397
32,1942,12133248
33,10727,7862883
34,5041,11765508
35,648,8260369
36,6809,6618336
37,5973,9920242
38,7571,6194130
39,313,11211881
40,7412,10072055
41,5662,6130848
42,11591,6781213
43,8910,6776314
44,3801,7516917
45,2064,6404252
46,1916,9930550
47,4698,6513366
48,9439,7659620
49,10306,9808221
50,5383,7574550
51,5760,9034118
52,413,7343402
53,6822,3177538
54,8747,7720029
55,130,12138878
56,2001,8669136
57,7962,6794809
58,9933,8749856
59,11683,7680235
60,9418,9144825
61,5311,11082808
62,8585,14526408
63,8297,12710869
64,9321,6663221
65,11782,4930757
66,1474,8101512
67,8642,6585118
68,3014,9798333
69,10676,8026766
70,5263,6853733
71,8669,8168229
72,4256,9101165
73,8880,9459962
74,9047,11201383
75,9502,8256312
76,3825,7585816
77,3096,8313397
78,1868,5685234
79,3299,9622020
80,4320,7928008
81,3352,7560410
82,11845,5287335
83,11009,8228712
84,106,8636880
85,10267,6280643
86,7179,8954958
87,10770,8830516
88,4133,9309320
89,2421,7846280
90,7592,10727695
91,6873,5008705
92,12035,10901017
93,11141,9258745
94,12197,19031997
95,4393,7950434
96,11428,8993662
97,12193,8988884
98,10649,7969554
99,7512,6809003
100,4060,6937672
101,10408,9093510
102,7525,8288748
103,11810,7711582
104,7,12146887
105,10235,8627074
106,6975,8488790
107,5276,8520921
108,7923,4508958
109,5686,10225714
110,5914,6234808
111,7566,8084231
112,9438,11795418
113,531,9046713
114,8070,11069828
115,7271,8630281
116,664,8445326
117,9979,8441554
118,5852,7958805
119,5129,9240813
120,1077,8273756
121,7993,7967926
122,8783,11080719
123,5691,8097583
124,9164,5595251
125,7218,8057629
126,1065,10693400
127,7772,7968157
128,4735,11865709
129,3169,13444980
130,9654,7404170
131,4326,10670463
132,8410,7394237
133,10222,7990604
134,1471,11177212
135,11829,5763036
136,12098,15165066
137,9444,8077067
138,6198,7124939
139,5547,12908574
140,3343,8485330
141,12026,14771220
142,10010,8793605
143,8780,5526307
144,1470,8590529
145,1562,7546317
146,8562,8012520
147,3457,7855933
148,6556,8076465
149,2030,7642035
150,6068,9945807
151,1613,10917130
152,7115,7831351
153,10650,7368313
154,9378,7003324
155,2238,7689562
156,2231,10243885
157,2547,8606924
158,3363,12582013
159,11609,7157578
160,6189,9541402
161,8470,10697363
162,4471,10311620
163,3486,9564534
164,11329,11661798
165,2925,4073170
166,12116,5233448
167,11149,8718747
168,11711,9640928
169,7172,8968935
170,10058,8855545
171,3164,8498624
172,8596,8162117
173,2180,8636700
174,3792,4906939
175,5456,7756114
176,4442,8325775
177,6965,8588041
178,4334,10732359
179,2117,9831638
180,8139,6504656
181,8199,6798203
182,8119,6011857
183,9180,11660108
184,8798,6375619
185,1141,10900831
186,6493,8978396
187,7929,7964913
188,11335,6815666
189,4929,7738200
190,1047,11060617
191,3209,8991385
192,1556,12116383
193,6484,7844385
194,4420,8514853
